Bioproject,Run,Agent,Assay_Type,AvgSpotLen,Bases,BioSample,Bytes,Cell_type_line,Center_Name,Consent,DATASTORE_filetype,DATASTORE_provider,DATASTORE_region,Experiment,GEO_Accession_exp,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample_Name,Source_Name,SRA_Study,Genotype,Infection,Tissue,iav_strain,Molecule_Subtype,Treatment,treatment_time,Biomaterial_Provider,siRNA,Donor,Post_Preatment,Time_Point,Patient_Number,Condition
PRJNA681319,SRR13161291,,RNA-Seq,302,1886765838,SAMN16949043,854354654,A549,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9600269,GSM4948588,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948588,Lung epithelial cells,SRP294598,,,,,,"untreated control\, time matched for infected cells",12 hours,"ATCC\, CCL-185",,,,,,
PRJNA681319,SRR13161303,,RNA-Seq,302,1528020944,SAMN16949058,696296739,A549,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9600281,GSM4948600,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948600,Lung epithelial cells,SRP294598,,,,,,Influenza A/Port Chalmers/1/73 (H3N2) infected at MOI1,6 hour post infection [hpi],"ATCC\, CCL-185",,,,,,
PRJNA681319,SRR13161306,,RNA-Seq,302,1937280472,SAMN16949055,878455751,A549,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9600284,GSM4948603,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948603,Lung epithelial cells,SRP294598,,,,,,Influenza A/Port Chalmers/1/73 (H3N2) infected at MOI1,8 hour post infection [hpi],"ATCC\, CCL-185",,,,,,
PRJNA681319,SRR13161309,,RNA-Seq,302,2419766242,SAMN16949052,1101299177,A549,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9600261,GSM4948606,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948606,Lung epithelial cells,SRP294598,,,,,,Influenza A/Port Chalmers/1/73 (H3N2) infected at MOI1,12 hour post infection [hpi],"ATCC\, CCL-185",,,,,,
PRJNA706691,SRR13858418,Mock,RNA-Seq,100,3560011100,SAMN18140350,2148675195,adenocarcinomic human alveolar basal epithelial cells,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX10239433,GSM5135054,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,GSM5135054,A549 (CCL-185),SRP309315,,,,,,,,,siNTC,,,,,
PRJNA706691,SRR13858419,Mock,RNA-Seq,100,2740637000,SAMN18140348,1683410883,adenocarcinomic human alveolar basal epithelial cells,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX10239434,GSM5135055,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,GSM5135055,A549 (CCL-185),SRP309315,,,,,,,,,siNTC,,,,,
PRJNA706691,SRR13858422,influenza A virus,RNA-Seq,100,3389970700,SAMN18140343,2068573465,adenocarcinomic human alveolar basal epithelial cells,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX10239437,GSM5135058,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,GSM5135058,A549 (CCL-185),SRP309315,,,,,,,,,siNTC,,,,,
PRJNA706691,SRR13858423,influenza A virus,RNA-Seq,100,3184528500,SAMN18140341,1923419904,adenocarcinomic human alveolar basal epithelial cells,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX10239438,GSM5135059,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,GSM5135059,A549 (CCL-185),SRP309315,,,,,,,,,siNTC,,,,,
PRJNA722929,SRR14272444,,RNA-Seq,300,13068054000,SAMN18795748,4828965712,A549,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX10633931,GSM5252409,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-17T00:00:00Z,GSM5252409,A549 cells,SRP315324,,untreated,,,,,,,,,,,,
PRJNA722929,SRR14272445,,RNA-Seq,300,12852579300,SAMN18795747,4753163954,A549,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX10633932,GSM5252410,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-17T00:00:00Z,GSM5252410,A549 cells,SRP315324,,untreated,,,,,,,,,,,,
PRJNA722929,SRR14272446,,RNA-Seq,300,14062747500,SAMN18795746,5251282405,A549,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX10633921,GSM5252411,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-17T00:00:00Z,GSM5252411,A549 cells,SRP315324,,untreated,,,,,,,,,,,,
PRJNA722929,SRR14272447,,RNA-Seq,300,11192699100,SAMN18795777,4142952011,A549,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX10633922,GSM5252412,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-17T00:00:00Z,GSM5252412,A549 cells,SRP315324,,H9N2 virus infected for 12 h,,,,,,,,,,,,
PRJNA722929,SRR14272448,,RNA-Seq,300,12308774100,SAMN18795776,4565171809,A549,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX10633923,GSM5252413,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-17T00:00:00Z,GSM5252413,A549 cells,SRP315324,,H9N2 virus infected for 12 h,,,,,,,,,,,,
PRJNA722929,SRR14272449,,RNA-Seq,300,11742582900,SAMN18795775,4348284905,A549,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX10633924,GSM5252414,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-17T00:00:00Z,GSM5252414,A549 cells,SRP315324,,H9N2 virus infected for 12 h,,,,,,,,,,,,
PRJNA789923,SRR17265436,,RNA-Seq,126,28250769078,SAMN24174065,13891614400,,"HEALTH 2030 GENOME CENTER`, FONDATION CAMPUS BIOTECH GENEVA",public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX13443465,GSM5740436,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-12-19T00:00:00Z,GSM5740436,Ex vivo reconstuted airway epithelia,SRP351415,,None,,,,,,,,Healthy donors,,,,
PRJNA789923,SRR17265440,,RNA-Seq,126,30541264866,SAMN24174069,15039786727,,"HEALTH 2030 GENOME CENTER`, FONDATION CAMPUS BIOTECH GENEVA",public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX13443461,GSM5740432,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-12-19T00:00:00Z,GSM5740432,Ex vivo reconstuted airway epithelia,SRP351415,,Influenza A virus,,,,,,,,Healthy donors,,,,
PRJNA795161,SRR17468182,,RNA-Seq,300,7073962800,SAMN24694377,2209582421,HBEC,"LAB D, 8/F, BLOCK A, CHILDREN'S HOSPITAL, PAEDIATRICS, CHINESE UNIVERSITY OF HONG KONG",public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX13639331,GSM5775743,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-01T00:00:00Z,GSM5775743,,SRP353813,,Mock1,,,,,,,,B56,Nil,,,
PRJNA795161,SRR17468183,,RNA-Seq,300,5954837700,SAMN24694378,1843631777,HBEC,"LAB D, 8/F, BLOCK A, CHILDREN'S HOSPITAL, PAEDIATRICS, CHINESE UNIVERSITY OF HONG KONG",public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX13639330,GSM5775742,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-01T00:00:00Z,GSM5775742,,SRP353813,,influenza (IAV),,,,,,,,B56,Nil,,,
PRJNA795161,SRR17468184,,RNA-Seq,300,7498548300,SAMN24694379,2343224142,HBEC,"LAB D, 8/F, BLOCK A, CHILDREN'S HOSPITAL, PAEDIATRICS, CHINESE UNIVERSITY OF HONG KONG",public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX13639329,GSM5775741,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-01T00:00:00Z,GSM5775741,,SRP353813,,Mock2,,,,,,,,B56,Nil,,,
PRJNA795161,SRR17468186,,RNA-Seq,300,7536025500,SAMN24694381,2357348257,HBEC,"LAB D, 8/F, BLOCK A, CHILDREN'S HOSPITAL, PAEDIATRICS, CHINESE UNIVERSITY OF HONG KONG",public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX13639327,GSM5775739,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-01T00:00:00Z,GSM5775739,,SRP353813,,Mock1,,,,,,,,B47,Nil,,,
PRJNA795161,SRR17468187,,RNA-Seq,300,6953293800,SAMN24694382,2156690731,HBEC,"LAB D, 8/F, BLOCK A, CHILDREN'S HOSPITAL, PAEDIATRICS, CHINESE UNIVERSITY OF HONG KONG",public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX13639326,GSM5775738,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-01T00:00:00Z,GSM5775738,,SRP353813,,influenza (IAV),,,,,,,,B47,Nil,,,
PRJNA795161,SRR17468188,,RNA-Seq,300,7261655100,SAMN24694383,2262164378,HBEC,"LAB D, 8/F, BLOCK A, CHILDREN'S HOSPITAL, PAEDIATRICS, CHINESE UNIVERSITY OF HONG KONG",public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX13639325,GSM5775737,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-01T00:00:00Z,GSM5775737,,SRP353813,,Mock2,,,,,,,,B47,Nil,,,
PRJNA795161,SRR17468190,,RNA-Seq,300,7145824500,SAMN24694385,2354953747,HBEC,"LAB D, 8/F, BLOCK A, CHILDREN'S HOSPITAL, PAEDIATRICS, CHINESE UNIVERSITY OF HONG KONG",public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX13639323,GSM5775735,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-01T00:00:00Z,GSM5775735,,SRP353813,,Mock1,,,,,,,,B46,Nil,,,
PRJNA795161,SRR17468191,,RNA-Seq,300,6445629600,SAMN24694386,2128247125,HBEC,"LAB D, 8/F, BLOCK A, CHILDREN'S HOSPITAL, PAEDIATRICS, CHINESE UNIVERSITY OF HONG KONG",public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX13639322,GSM5775734,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-01T00:00:00Z,GSM5775734,,SRP353813,,influenza (IAV),,,,,,,,B46,Nil,,,
PRJNA795161,SRR17468192,,RNA-Seq,300,7197316200,SAMN24694387,2355262396,HBEC,"LAB D, 8/F, BLOCK A, CHILDREN'S HOSPITAL, PAEDIATRICS, CHINESE UNIVERSITY OF HONG KONG",public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX13639321,GSM5775733,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-01T00:00:00Z,GSM5775733,,SRP353813,,Mock2,,,,,,,,B46,Nil,,,
PRJNA688321,SRR13319458,,RNA-Seq,84,2836844136,SAMN17173512,1227915836,,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746938,GSM4991245,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991245,Nasal turbinate tissue,SRP299574,,Uninfected,Nasal turbinate,,,,,,,Donor 1,,24 hours post infection,,
PRJNA688321,SRR13319459,,RNA-Seq,84,2656543092,SAMN17173511,1127652528,,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746939,GSM4991246,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991246,Nasal turbinate tissue,SRP299574,,Uninfected,Nasal turbinate,,,,,,,Donor 1,,24 hours post infection,,
PRJNA688321,SRR13319460,,RNA-Seq,84,1685802804,SAMN17173510,735794752,,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746940,GSM4991247,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991247,Nasal turbinate tissue,SRP299574,,Uninfected,Nasal turbinate,,,,,,,Donor 2,,24 hours post infection,,
PRJNA688321,SRR13319461,,RNA-Seq,84,2505087480,SAMN17173509,1086910027,,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9746941,GSM4991248,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991248,Nasal turbinate tissue,SRP299574,,Uninfected,Nasal turbinate,,,,,,,Donor 2,,24 hours post infection,,
PRJNA688321,SRR13319462,,RNA-Seq,84,2867818128,SAMN17173508,1242784855,,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9746942,GSM4991249,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991249,Nasal turbinate tissue,SRP299574,,Uninfected,Nasal turbinate,,,,,,,Donor 3,,24 hours post infection,,
PRJNA688321,SRR13319463,,RNA-Seq,84,3555716724,SAMN17173507,1533141820,,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9746943,GSM4991250,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991250,Nasal turbinate tissue,SRP299574,,Uninfected,Nasal turbinate,,,,,,,Donor 3,,24 hours post infection,,
PRJNA688321,SRR13319464,,RNA-Seq,84,1953680820,SAMN17173506,863966491,,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746944,GSM4991251,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991251,Nasal turbinate tissue,SRP299574,,Influenza A,Nasal turbinate,,,,,,,Donor 1,,24 hours post infection,,
PRJNA688321,SRR13319465,,RNA-Seq,84,3716061972,SAMN17173505,1586164095,,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746945,GSM4991252,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991252,Nasal turbinate tissue,SRP299574,,Influenza A,Nasal turbinate,,,,,,,Donor 1,,24 hours post infection,,
PRJNA688321,SRR13319466,,RNA-Seq,84,3184829340,SAMN17173504,1377104278,,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9746946,GSM4991253,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991253,Nasal turbinate tissue,SRP299574,,Influenza A,Nasal turbinate,,,,,,,Donor 2,,24 hours post infection,,
PRJNA688321,SRR13319467,,RNA-Seq,84,2801161104,SAMN17173503,1219492226,,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9746947,GSM4991254,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991254,Nasal turbinate tissue,SRP299574,,Influenza A,Nasal turbinate,,,,,,,Donor 2,,24 hours post infection,,
PRJNA688321,SRR13319468,,RNA-Seq,84,2393936328,SAMN17173502,1037114206,,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9746948,GSM4991255,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991255,Nasal turbinate tissue,SRP299574,,Influenza A,Nasal turbinate,,,,,,,Donor 3,,24 hours post infection,,
PRJNA688321,SRR13319469,,RNA-Seq,84,3154791192,SAMN17173501,1357401298,,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9746949,GSM4991256,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991256,Nasal turbinate tissue,SRP299574,,Influenza A,Nasal turbinate,,,,,,,Donor 3,,24 hours post infection,,
PRJNA688321,SRR13319470,,RNA-Seq,84,2814754572,SAMN17173500,1214911876,,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9746950,GSM4991257,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991257,Nasal turbinate tissue,SRP299574,,SARS-CoV-2,Nasal turbinate,,,,,,,Donor 1,,24 hours post infection,,
PRJNA688321,SRR13319471,,RNA-Seq,84,2201406732,SAMN17173498,950470134,,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9746951,GSM4991258,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991258,Nasal turbinate tissue,SRP299574,,SARS-CoV-2,Nasal turbinate,,,,,,,Donor 1,,24 hours post infection,,
PRJNA688321,SRR13319472,,RNA-Seq,84,2055526452,SAMN17173524,891276372,,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746952,GSM4991259,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991259,Nasal turbinate tissue,SRP299574,,SARS-CoV-2,Nasal turbinate,,,,,,,Donor 2,,24 hours post infection,,
PRJNA688321,SRR13319473,,RNA-Seq,84,2269426740,SAMN17173523,981834358,,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9746953,GSM4991260,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991260,Nasal turbinate tissue,SRP299574,,SARS-CoV-2,Nasal turbinate,,,,,,,Donor 2,,24 hours post infection,,
PRJNA688321,SRR13319474,,RNA-Seq,84,2651153568,SAMN17173522,1141210093,,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9746954,GSM4991261,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991261,Nasal turbinate tissue,SRP299574,,SARS-CoV-2,Nasal turbinate,,,,,,,Donor 3,,24 hours post infection,,
PRJNA688321,SRR13319475,,RNA-Seq,84,2620533384,SAMN17173521,1131582417,,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9746955,GSM4991262,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991262,Nasal turbinate tissue,SRP299574,,SARS-CoV-2,Nasal turbinate,,,,,,,Donor 3,,24 hours post infection,,
