Bioproject,Run,Agent,Assay_Type,AvgSpotLen,Bases,BioSample,Bytes,Cell_type_line,Center_Name,Consent,DATASTORE_filetype,DATASTORE_provider,DATASTORE_region,Experiment,GEO_Accession_exp,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample_Name,Source_Name,SRA_Study,Genotype,Infection,Tissue,iav_strain,Molecule_Subtype,Treatment,treatment_time,Biomaterial_Provider,siRNA,Donor,Post_Preatment,Time_Point,Patient_Number,Condition,X...,Age,Assay.Type,BIOMATERIAL_PROVIDER,BioProject,BioSampleModel,Center.Name,DATASTORE.filetype,DATASTORE.provider,DATASTORE.region,Isolate,Library.Name,create_date,version,Sample.Name,sex,SRA.Study,TISSUE,asthma_status,obesity_status,Collection_Date,gender,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Isolation_Source,Lat_Lon,Location,Subject,smoking_status,REPLICATE,samp_mat_process,accession..run.,object_status..run.,study..run.,Source_material_ID,env_broad_scale,env_local_scale,env_medium,AssemblyName,collected_by,fasta_file..run.,Host_age,Host_disease,host_sex,Strain,agent,GEO_Accession..exp.,source_name,infected,Cell_type,infection_status,Group,CONDITION,infection,assay,BioRep,Cell_line,Concentration,rnase,cell,TREATMENT,Timepoint,technology,Hours_post_infection,virus_strain,Passages,viral_strain,merip_antibody,sars.cov.2_infected,molecule_subtype,treatment_timepoint,Culture_Condition
PRJNA664043,SRR12606569,,RNA-Seq,300,6784171500,SAMN16078520,2089762006,A549 cells,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9090236,GSM4771578,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-09T00:00:00Z,GSM4771578,wildtype A549 cells,SRP281173,wildtype,the cells were inoculated with PR8/H1N1 virus at an MOI of 1 for 12 hours,,NA,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA664043,SRR12606570,,RNA-Seq,300,6562754700,SAMN16078519,2024705003,A549 cells,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9090237,GSM4771579,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-09T00:00:00Z,GSM4771579,wildtype A549 cells,SRP281173,wildtype,the cells were inoculated with PR8/H1N1 virus at an MOI of 1 for 12 hours,,NA,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA681319,SRR13161289,,RNA-Seq,302,1919137218,SAMN16949045,868889841,A549,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9600267,GSM4948586,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948586,Lung epithelial cells,SRP294598,,,,NA,NA,"untreated control\, time matched for infected cells",12 hours,"ATCC\, CCL-185",,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA681319,SRR13161290,,RNA-Seq,302,1834512590,SAMN16949044,836553548,A549,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9600268,GSM4948587,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948587,Lung epithelial cells,SRP294598,,,,NA,NA,"untreated control\, time matched for infected cells",12 hours,"ATCC\, CCL-185",,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA681319,SRR13161291,,RNA-Seq,302,1886765838,SAMN16949043,854354654,A549,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9600269,GSM4948588,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948588,Lung epithelial cells,SRP294598,,,,NA,NA,"untreated control\, time matched for infected cells",12 hours,"ATCC\, CCL-185",,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA681319,SRR13161303,,RNA-Seq,302,1528020944,SAMN16949058,696296739,A549,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9600281,GSM4948600,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948600,Lung epithelial cells,SRP294598,,,,NA,NA,Influenza A/Port Chalmers/1/73 (H3N2) infected at MOI1,6 hour post infection [hpi],"ATCC\, CCL-185",,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA681319,SRR13161306,,RNA-Seq,302,1937280472,SAMN16949055,878455751,A549,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9600284,GSM4948603,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948603,Lung epithelial cells,SRP294598,,,,NA,NA,Influenza A/Port Chalmers/1/73 (H3N2) infected at MOI1,8 hour post infection [hpi],"ATCC\, CCL-185",,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA681319,SRR13161309,,RNA-Seq,302,2419766242,SAMN16949052,1101299177,A549,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9600261,GSM4948606,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948606,Lung epithelial cells,SRP294598,,,,NA,NA,Influenza A/Port Chalmers/1/73 (H3N2) infected at MOI1,12 hour post infection [hpi],"ATCC\, CCL-185",,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA706691,SRR13858418,Mock,RNA-Seq,100,3560011100,SAMN18140350,2148675195,adenocarcinomic human alveolar basal epithelial cells,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX10239433,GSM5135054,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,GSM5135054,A549 (CCL-185),SRP309315,,,,NA,NA,,,,siNTC,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA706691,SRR13858419,Mock,RNA-Seq,100,2740637000,SAMN18140348,1683410883,adenocarcinomic human alveolar basal epithelial cells,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX10239434,GSM5135055,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,GSM5135055,A549 (CCL-185),SRP309315,,,,NA,NA,,,,siNTC,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA706691,SRR13858422,influenza A virus,RNA-Seq,100,3389970700,SAMN18140343,2068573465,adenocarcinomic human alveolar basal epithelial cells,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX10239437,GSM5135058,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,GSM5135058,A549 (CCL-185),SRP309315,,,,NA,NA,,,,siNTC,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA706691,SRR13858423,influenza A virus,RNA-Seq,100,3184528500,SAMN18140341,1923419904,adenocarcinomic human alveolar basal epithelial cells,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX10239438,GSM5135059,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,GSM5135059,A549 (CCL-185),SRP309315,,,,NA,NA,,,,siNTC,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA722929,SRR14272444,,RNA-Seq,300,13068054000,SAMN18795748,4828965712,A549,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX10633931,GSM5252409,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-17T00:00:00Z,GSM5252409,A549 cells,SRP315324,,untreated,,NA,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA722929,SRR14272445,,RNA-Seq,300,12852579300,SAMN18795747,4753163954,A549,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX10633932,GSM5252410,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-17T00:00:00Z,GSM5252410,A549 cells,SRP315324,,untreated,,NA,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA722929,SRR14272446,,RNA-Seq,300,14062747500,SAMN18795746,5251282405,A549,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX10633921,GSM5252411,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-17T00:00:00Z,GSM5252411,A549 cells,SRP315324,,untreated,,NA,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA722929,SRR14272447,,RNA-Seq,300,11192699100,SAMN18795777,4142952011,A549,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX10633922,GSM5252412,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-17T00:00:00Z,GSM5252412,A549 cells,SRP315324,,H9N2 virus infected for 12 h,,NA,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRJNA722929,SRR14272448,,RNA-Seq,300,12308774100,SAMN18795776,4565171809,A549,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX10633923,GSM5252413,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-17T00:00:00Z,GSM5252413,A549 cells,SRP315324,,H9N2 virus infected for 12 h,,NA,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
