Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Individual,infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time_point,Tissue
SRR13319480,RNA-Seq,84,2177292852,PRJNA688321,SAMN17173516,943613505,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9746960,GSM4991267,Donor 6,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991267,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319481,RNA-Seq,84,2657043900,PRJNA688321,SAMN17173515,1153521826,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9746961,GSM4991268,Donor 6,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991268,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319482,RNA-Seq,84,1964880036,PRJNA688321,SAMN17173514,840988547,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9746962,GSM4991269,Donor 7,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991269,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319483,RNA-Seq,84,1929533256,PRJNA688321,SAMN17173513,836028208,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746963,GSM4991270,Donor 7,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991270,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319484,RNA-Seq,84,1846599636,PRJNA688321,SAMN17173541,795043890,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9746964,GSM4991271,Donor 8,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991271,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319485,RNA-Seq,84,2369433108,PRJNA688321,SAMN17173540,1005763774,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9746965,GSM4991272,Donor 8,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991272,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319486,RNA-Seq,84,1385025012,PRJNA688321,SAMN17173539,610051102,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9746966,GSM4991273,Donor 4,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991273,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319487,RNA-Seq,84,1631071008,PRJNA688321,SAMN17173538,704501641,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX9746967,GSM4991274,Donor 4,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991274,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319488,RNA-Seq,84,2027505396,PRJNA688321,SAMN17173537,877147863,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9746968,GSM4991275,Donor 5,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991275,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319489,RNA-Seq,84,1894377492,PRJNA688321,SAMN17173536,810281453,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9746969,GSM4991276,Donor 5,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991276,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319490,RNA-Seq,84,2318256780,PRJNA688321,SAMN17173535,1005672410,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX9746970,GSM4991277,Donor 6,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991277,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319491,RNA-Seq,84,2020326336,PRJNA688321,SAMN17173534,871639508,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746971,GSM4991278,Donor 6,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991278,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319492,RNA-Seq,84,1853811960,PRJNA688321,SAMN17173533,784565047,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746972,GSM4991279,Donor 7,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991279,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319493,RNA-Seq,84,1874245044,PRJNA688321,SAMN17173532,808422062,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9746973,GSM4991280,Donor 7,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991280,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319494,RNA-Seq,84,1790847828,PRJNA688321,SAMN17173531,787875319,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746974,GSM4991281,Donor 8,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991281,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319495,RNA-Seq,84,2348853444,PRJNA688321,SAMN17173530,998152292,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9746975,GSM4991282,Donor 8,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991282,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319496,RNA-Seq,84,1567699476,PRJNA688321,SAMN17173529,687940931,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9746976,GSM4991283,Donor 4,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991283,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319497,RNA-Seq,84,1699333524,PRJNA688321,SAMN17173528,730769213,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9746977,GSM4991284,Donor 4,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991284,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319498,RNA-Seq,84,2121265440,PRJNA688321,SAMN17173527,939277034,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9746978,GSM4991285,Donor 5,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991285,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319499,RNA-Seq,84,2672584992,PRJNA688321,SAMN17173526,1138336982,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX9746979,GSM4991286,Donor 5,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991286,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319500,RNA-Seq,84,2103882144,PRJNA688321,SAMN17173525,908053339,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9746980,GSM4991287,Donor 6,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991287,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319501,RNA-Seq,84,2079082404,PRJNA688321,SAMN17173547,902262196,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746981,GSM4991288,Donor 6,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991288,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319502,RNA-Seq,84,1713521460,PRJNA688321,SAMN17173546,724554415,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746982,GSM4991289,Donor 7,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991289,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319503,RNA-Seq,84,1867992672,PRJNA688321,SAMN17173545,802718395,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX9746983,GSM4991290,Donor 7,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991290,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319504,RNA-Seq,84,2470836312,PRJNA688321,SAMN17173544,1064111023,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746984,GSM4991291,Donor 8,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991291,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319505,RNA-Seq,84,2630448912,PRJNA688321,SAMN17173543,1121545370,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9746985,GSM4991292,Donor 8,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991292,Lung tissue,SRP299574,24 hours post infection,Lung
