"Run","Animal.ID","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","Bytes","Center.Name","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","DPI","Experiment","GEO_Accession..exp.","infection_route","Instrument","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","create_date","version","Sample.Name","source_name","SRA.Study","status","Tissue","virus_dose","virus","Animal_ID","cc_line","day_post.infection","infection_condtion","Treatment"
"SRR5630537","Ani3","RNA-Seq",198,4751186776,"PRJNA388501","SAMN07178087",3314118834,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","3","SRX2870740","GSM2644400","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:10:00Z",1,"GSM2644400","Whole blood\, intramuscular 10PFU\, day 3","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630538","Ani3","RNA-Seq",197,806889114,"PRJNA388501","SAMN07178087",425618148,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","3","SRX2870740","GSM2644400","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:00:00Z",1,"GSM2644400","Whole blood\, intramuscular 10PFU\, day 3","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630539","Ani3","RNA-Seq",197,3263313221,"PRJNA388501","SAMN07178086",1980924345,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","6","SRX2870741","GSM2644401","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:05:00Z",1,"GSM2644401","Whole blood\, intramuscular 10PFU\, day 6","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630540","Ani3","RNA-Seq",197,881773962,"PRJNA388501","SAMN07178086",462434157,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","6","SRX2870741","GSM2644401","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:01:00Z",1,"GSM2644401","Whole blood\, intramuscular 10PFU\, day 6","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630541","Ani3","RNA-Seq",197,3419875337,"PRJNA388501","SAMN07178085",2176174189,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","10","SRX2870742","GSM2644402","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:06:00Z",1,"GSM2644402","Whole blood\, intramuscular 10PFU\, day 10","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630542","Ani3","RNA-Seq",197,1567858181,"PRJNA388501","SAMN07178085",857752037,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","10","SRX2870742","GSM2644402","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:04:00Z",1,"GSM2644402","Whole blood\, intramuscular 10PFU\, day 10","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630543","Ani4","RNA-Seq",197,3223052665,"PRJNA388501","SAMN07178084",2109321158,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX2870743","GSM2644403","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:08:00Z",1,"GSM2644403","Whole blood\, intramuscular 10PFU\, day 0","SRP108301","Control","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630544","Ani4","RNA-Seq",197,784464554,"PRJNA388501","SAMN07178084",428124035,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX2870743","GSM2644403","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:00:00Z",1,"GSM2644403","Whole blood\, intramuscular 10PFU\, day 0","SRP108301","Control","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630545","Ani4","RNA-Seq",195,8659551866,"PRJNA388501","SAMN07178083",6182673728,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","3","SRX2870744","GSM2644404","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:38:00Z",1,"GSM2644404","Whole blood\, intramuscular 10PFU\, day 3","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630546","Ani4","RNA-Seq",194,1831165095,"PRJNA388501","SAMN07178083",992627429,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","3","SRX2870744","GSM2644404","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:06:00Z",1,"GSM2644404","Whole blood\, intramuscular 10PFU\, day 3","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630547","Ani4","RNA-Seq",197,3639528328,"PRJNA388501","SAMN07178082",2278161751,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","6","SRX2870745","GSM2644405","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:13:00Z",1,"GSM2644405","Whole blood\, intramuscular 10PFU\, day 6","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630548","Ani4","RNA-Seq",196,881121880,"PRJNA388501","SAMN07178082",472058605,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","6","SRX2870745","GSM2644405","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:01:00Z",1,"GSM2644405","Whole blood\, intramuscular 10PFU\, day 6","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630549","Ani4","RNA-Seq",197,3548541664,"PRJNA388501","SAMN07178081",2262884655,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","10","SRX2870746","GSM2644406","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:08:00Z",1,"GSM2644406","Whole blood\, intramuscular 10PFU\, day 10","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630550","Ani4","RNA-Seq",197,1372655951,"PRJNA388501","SAMN07178081",737657320,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","10","SRX2870746","GSM2644406","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:02:00Z",1,"GSM2644406","Whole blood\, intramuscular 10PFU\, day 10","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630551","Ani4","RNA-Seq",198,2264500503,"PRJNA388501","SAMN07178080",1470175801,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","11","SRX2870747","GSM2644407","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:08:00Z",1,"GSM2644407","Whole blood\, intramuscular 10PFU\, day 11","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630552","Ani4","RNA-Seq",198,952553883,"PRJNA388501","SAMN07178080",529870298,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","11","SRX2870747","GSM2644407","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:01:00Z",1,"GSM2644407","Whole blood\, intramuscular 10PFU\, day 11","SRP108301","Infected","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630553","Ani5","RNA-Seq",197,3927275565,"PRJNA388501","SAMN07178079",2537042952,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX2870748","GSM2644408","ophthalmic","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:08:00Z",1,"GSM2644408","Whole blood\, ophthalmic 100PFU\, day 0","SRP108301","Control","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630554","Ani5","RNA-Seq",196,854772189,"PRJNA388501","SAMN07178079",459768971,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX2870748","GSM2644408","ophthalmic","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:01:00Z",1,"GSM2644408","Whole blood\, ophthalmic 100PFU\, day 0","SRP108301","Control","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630555","Ani5","RNA-Seq",190,6338128276,"PRJNA388501","SAMN07178077",4564608823,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","3","SRX2870749","GSM2644409","ophthalmic","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:17:00Z",1,"GSM2644409","Whole blood\, ophthalmic 100PFU\, day 3","SRP108301","Infected","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630556","Ani5","RNA-Seq",188,1040891881,"PRJNA388501","SAMN07178077",561617522,"GEO","public","fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","3","SRX2870749","GSM2644409","ophthalmic","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:01:00Z",1,"GSM2644409","Whole blood\, ophthalmic 100PFU\, day 3","SRP108301","Infected","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630557","Ani5","RNA-Seq",195,2998731901,"PRJNA388501","SAMN07178076",1864368578,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","6","SRX2870750","GSM2644410","ophthalmic","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:07:00Z",1,"GSM2644410","Whole blood\, ophthalmic 100PFU\, day 6","SRP108301","Infected","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630558","Ani5","RNA-Seq",195,732254489,"PRJNA388501","SAMN07178076",389894020,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","6","SRX2870750","GSM2644410","ophthalmic","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:01:00Z",1,"GSM2644410","Whole blood\, ophthalmic 100PFU\, day 6","SRP108301","Infected","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630559","Ani5","RNA-Seq",196,2556416019,"PRJNA388501","SAMN07178094",1555598876,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","10","SRX2870751","GSM2644411","ophthalmic","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:05:00Z",1,"GSM2644411","Whole blood\, ophthalmic 100PFU\, day 10","SRP108301","Infected","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630560","Ani5","RNA-Seq",196,928992676,"PRJNA388501","SAMN07178094",501475881,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","10","SRX2870751","GSM2644411","ophthalmic","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:01:00Z",1,"GSM2644411","Whole blood\, ophthalmic 100PFU\, day 10","SRP108301","Infected","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630561","Ani6","RNA-Seq",197,2900162125,"PRJNA388501","SAMN07178093",2054097896,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX2870752","GSM2644412","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:06:00Z",1,"GSM2644412","Whole blood\, intramuscular 1000PFU\, day 0","SRP108301","Control","Whole blood","1000 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630562","Ani6","RNA-Seq",196,1429144562,"PRJNA388501","SAMN07178093",773106930,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX2870752","GSM2644412","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:13:00Z",1,"GSM2644412","Whole blood\, intramuscular 1000PFU\, day 0","SRP108301","Control","Whole blood","1000 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630563","Ani6","RNA-Seq",197,3271498227,"PRJNA388501","SAMN07178074",2375588893,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","3","SRX2870753","GSM2644413","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:08:00Z",1,"GSM2644413","Whole blood\, intramuscular 1000PFU\, day 3","SRP108301","Infected","Whole blood","1000 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630564","Ani6","RNA-Seq",195,1424729692,"PRJNA388501","SAMN07178074",786794736,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","3","SRX2870753","GSM2644413","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:03:00Z",1,"GSM2644413","Whole blood\, intramuscular 1000PFU\, day 3","SRP108301","Infected","Whole blood","1000 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630565","Ani6","RNA-Seq",197,3004891363,"PRJNA388501","SAMN07178075",2150264703,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","6","SRX2870754","GSM2644414","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:09:00Z",1,"GSM2644414","Whole blood\, intramuscular 1000PFU\, day 6","SRP108301","Infected","Whole blood","1000 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630566","Ani6","RNA-Seq",196,1514194766,"PRJNA388501","SAMN07178075",827477002,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","6","SRX2870754","GSM2644414","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:03:00Z",1,"GSM2644414","Whole blood\, intramuscular 1000PFU\, day 6","SRP108301","Infected","Whole blood","1000 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630567","Ani6","RNA-Seq",191,2373420842,"PRJNA388501","SAMN07178078",1701405305,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","10","SRX2870755","GSM2644415","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:13:00Z",1,"GSM2644415","Whole blood\, intramuscular 1000PFU\, day 10","SRP108301","Infected","Whole blood","1000 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630568","Ani6","RNA-Seq",189,1175583713,"PRJNA388501","SAMN07178078",645522485,"GEO","public","fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","10","SRX2870755","GSM2644415","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:03:00Z",1,"GSM2644415","Whole blood\, intramuscular 1000PFU\, day 10","SRP108301","Infected","Whole blood","1000 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR7310674",NA,"RNA-Seq",151,2238405672,"PRJNA476001","SAMN09423369",932782453,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX4212963","GSM3189747",NA,"NextSeq 500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca mulatta","ILLUMINA","2018-08-27T00:00:00Z","2018-06-13T19:59:00Z",1,"GSM3189747","Whole Blood","SRP150467",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR7310675",NA,"RNA-Seq",151,2187469735,"PRJNA476001","SAMN09423369",909954277,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX4212963","GSM3189747",NA,"NextSeq 500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca mulatta","ILLUMINA","2018-08-27T00:00:00Z","2018-06-13T19:57:00Z",1,"GSM3189747","Whole Blood","SRP150467",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR7310676",NA,"RNA-Seq",151,2124499103,"PRJNA476001","SAMN09423369",895031057,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX4212963","GSM3189747",NA,"NextSeq 500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca mulatta","ILLUMINA","2018-08-27T00:00:00Z","2018-06-13T20:02:00Z",1,"GSM3189747","Whole Blood","SRP150467",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR7310677",NA,"RNA-Seq",151,2240697334,"PRJNA476001","SAMN09423369",932250413,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX4212963","GSM3189747",NA,"NextSeq 500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca mulatta","ILLUMINA","2018-08-27T00:00:00Z","2018-06-13T20:37:00Z",1,"GSM3189747","Whole Blood","SRP150467",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR7310678",NA,"RNA-Seq",150,2088002132,"PRJNA476001","SAMN09423370",871704139,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","-13","SRX4212964","GSM3189748",NA,"NextSeq 500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca mulatta","ILLUMINA","2018-08-27T00:00:00Z","2018-06-13T19:59:00Z",1,"GSM3189748","Whole Blood","SRP150467",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR7310679",NA,"RNA-Seq",150,2051160168,"PRJNA476001","SAMN09423370",853820495,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","-13","SRX4212964","GSM3189748",NA,"NextSeq 500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca mulatta","ILLUMINA","2018-08-27T00:00:00Z","2018-06-13T19:57:00Z",1,"GSM3189748","Whole Blood","SRP150467",NA,NA,NA,NA,NA,NA,NA,NA,NA
